timestamp,intersection_id,detector_id,approach,lane,movement,vehicle_count,occupancy_pct,speed_avg_kmh,rain,temp_c
2026-04-13 00:00:00,WADI_SAQRA_01,DET-N01,North,1,left_only,1,2.4,53.2,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-N02,North,2,left_straight,0,0.7,52.1,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-N03,North,3,straight,2,2.1,56.1,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-N04,North,4,straight,5,6.1,55.1,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-N05,North,5,straight_right,1,-1.1,56.2,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-N06,North,6,right_only,3,2.9,53.3,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-S01,South,1,left_only,2,-1.0,51.7,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-S02,South,2,left_straight,3,4.6,52.3,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-S03,South,3,straight,3,3.3,60.5,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-S04,South,4,straight,1,2.1,42.1,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-S05,South,5,straight_right,0,-1.2,46.9,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-S06,South,6,right_only,2,3.2,44.4,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-E01,East,1,left_straight,3,0.8,53.5,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-E02,East,2,straight,2,2.1,60.7,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-E03,East,3,straight_right,3,3.5,59.4,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-E04,East,4,right_only,1,-0.3,48.5,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-E05,East,5,u_turn,0,1.0,52.2,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-W01,West,1,left_straight,5,3.1,45.4,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-W02,West,2,straight,3,5.7,58.2,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-W03,West,3,straight_right,3,5.7,53.4,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-W04,West,4,right_only,0,-1.1,61.8,0.0,22.4
2026-04-13 00:00:00,WADI_SAQRA_01,DET-W05,West,5,u_turn,0,0.1,56.2,0.0,22.4
2026-04-13 00:15:00,WADI_SAQRA_01,DET-N01,North,1,left_only,2,6.5,59.2,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-N02,North,2,left_straight,1,-0.2,47.5,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-N03,North,3,straight,4,2.7,53.6,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-N04,North,4,straight,4,2.4,51.9,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-N05,North,5,straight_right,0,-2.2,49.7,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-N06,North,6,right_only,2,4.3,54.1,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-S01,South,1,left_only,2,2.2,62.9,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-S02,South,2,left_straight,3,3.4,46.1,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-S03,South,3,straight,4,4.6,64.0,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-S04,South,4,straight,3,6.8,51.3,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-S05,South,5,straight_right,5,5.0,50.1,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-S06,South,6,right_only,0,-0.3,65.6,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-E01,East,1,left_straight,3,4.2,35.2,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-E02,East,2,straight,3,4.0,49.8,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-E03,East,3,straight_right,1,0.9,68.0,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-E04,East,4,right_only,0,-0.9,65.1,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-E05,East,5,u_turn,0,-0.7,55.0,0.0,26.3
2026-04-13 00:15:00,WADI_SAQRA_01,DET-W01,West,1,left_straight,0,0.4,44.5,0.0,26.3
