Population (in K),Carpool (%),Toll ($),day,time in mins,Toll lane speed in km/h, Reg Lane 1  speed,Reg Lane 2 speed,Reg Lane 3 speed, all reg lane avg speed,carpool Lane speed, Toll lane cars num,Reg Lane 1 cars num,Reg Lane 2 cars num,Reg Lane 3 cars num, All Reg Lane cars num, carpool Lane cars num 
15,20,1,1,5.5,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
15,20,1,1,5.6,100.008,96.923,100.008,100.008,98.9797,100.008,0,2,0,0,2,0
15,20,1,1,5.7,100.008,96.0442,100.008,100.008,98.6867,88.7433,0,6,0,0,6,3
15,20,1,1,5.8,100.008,95.7002,100.008,100.008,98.5721,91.7341,0,18,0,0,18,7
15,20,1,1,5.9,100.008,96.0712,100.008,100.008,98.6957,92.9774,0,34,1,0,35,18
15,20,1,1,6,100.008,96.6918,97.6784,100.008,98.1261,93.2508,0,69,4,0,73,30
15,20,1,1,6.1,100.008,96.5476,98.3646,98.5667,97.8263,93.3383,0,128,17,2,147,46
15,20,1,1,6.2,100.008,96.0225,98.337,99.6106,97.99,93.0619,0,208,47,5,260,65
15,20,1,1,6.3,100.008,95.1129,98.5239,98.5504,97.3958,90.6813,0,318,111,25,454,123
15,20,1,1,6.4,100.008,94.1591,97.6905,97.0244,96.2913,86.4085,0,454,211,73,738,196
15,20,1,1,6.5,100.008,92.2389,96.8403,97.8848,95.6546,83.0256,0,594,376,176,1146,279
15,20,1,1,6.6,100.008,89.7217,96.2873,95.5162,93.8417,79.8828,0,745,587,338,1670,432
15,20,1,1,6.7,100.008,86.555,94.0582,94.1509,91.588,79.523,0,928,806,558,2292,592
15,20,1,1,6.8,100.008,83.1191,90.2618,91.2858,88.2222,78.5983,0,1113,1078,846,3037,803
15,20,1,1,6.9,100.008,80.289,86.158,86.4808,84.3093,76.8938,0,1303,1318,1143,3764,1050
15,20,1,1,7,100.008,78.0485,83.5032,84.0147,81.8555,75.563,0,1473,1499,1412,4384,1237
15,20,1,1,7.1,100.008,76.8064,82.1354,82.3203,80.4207,71.2327,0,1641,1635,1617,4893,1508
15,20,1,1,7.2,100.008,76.1929,80.0352,81.371,79.1997,67.9221,0,1748,1803,1746,5297,1670
15,20,1,1,7.3,100.008,75.0279,78.8813,80.2468,78.052,68.8427,0,1885,1884,1853,5622,1802
15,20,1,1,7.4,100.008,74.6069,77.7873,78.605,76.9997,65.9673,0,1980,1962,1963,5905,1860
15,20,1,1,7.5,100.008,74.2847,77.0128,76.2833,75.8602,66.007,0,2047,2038,2060,6145,1875
15,20,1,1,7.6,100.008,74.7451,76.0146,74.1589,74.9729,65.05,0,2078,2074,2122,6274,1772
15,20,1,1,7.7,100.008,73.7749,76.6315,72.8906,74.4323,65.5097,0,2019,2006,2083,6108,1640
15,20,1,1,7.8,100.008,72.4135,77.1118,70.9905,73.5053,63.8592,0,1895,1837,1889,5621,1582
15,20,1,1,7.9,100.008,70.2354,75.7358,68.7656,71.579,66.81,0,1747,1648,1634,5029,1485
15,20,1,1,8,100.008,67.7844,71.8626,64.6758,68.1076,63.6079,0,1570,1390,1390,4350,1264
15,20,1,1,8.1,100.008,63.9794,64.8424,57.106,61.9759,56.9521,0,1351,1142,1141,3634,1070
15,20,1,1,8.2,100.008,58.3618,51.6799,41.6668,50.5695,57.5833,1,1125,891,867,2883,812
15,20,1,1,8.3,95.2018,59.1303,49.4698,39.4522,49.3508,65.237,5,833,656,623,2112,578
15,20,1,1,8.4,92.8222,75.9783,58.437,43.3988,59.2713,83.0828,8,563,389,393,1345,317
15,20,1,1,8.5,92.3032,92.8022,99.0904,100.008,97.3002,83.2271,8,271,159,139,569,80
15,20,1,1,8.6,90.867,91.8062,98.3912,100.008,96.7351,87.4458,8,84,22,1,107,45
15,20,1,1,8.7,83.8023,92.6725,100.008,100.008,97.5628,86.0797,8,43,5,1,49,14
15,20,1,1,8.8,83.8023,94.6227,100.008,100.008,98.2129,86.0797,4,22,1,0,23,2
15,20,1,1,8.9,100.008,94.499,100.008,100.008,98.1717,89.5373,4,15,0,0,15,2
15,20,1,1,9,100.008,94.8027,100.008,100.008,98.2729,100.008,0,5,0,0,5,1
15,20,1,1,9.1,100.008,100.008,100.008,100.008,100.008,100.008,0,2,0,0,2,0
