Population (in K),Carpool (%),Toll ($),day,time in mins,Toll lane speed in km/h, Reg Lane 1  speed,Reg Lane 2 speed,Reg Lane 3 speed, all reg lane avg speed,carpool Lane speed, Toll lane cars num,Reg Lane 1 cars num,Reg Lane 2 cars num,Reg Lane 3 cars num, All Reg Lane cars num, carpool Lane cars num 
25,20,1,1,5,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
25,20,1,1,5.1,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
25,20,1,1,5.2,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
25,20,1,1,5.3,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
25,20,1,1,5.4,100.008,96.923,100.008,100.008,98.9797,100.008,0,3,0,0,3,0
25,20,1,1,5.5,100.008,97.9514,100.008,100.008,99.3225,100.008,0,3,0,0,3,0
25,20,1,1,5.6,100.008,95.8253,100.008,100.008,98.6138,87.1534,0,7,0,0,7,2
25,20,1,1,5.7,100.008,96.6198,100.008,88.9677,95.1985,91.4383,0,19,0,1,20,3
25,20,1,1,5.8,100.008,96.2994,94.9155,100.008,97.0743,89.9684,0,39,4,0,43,7
25,20,1,1,5.9,100.008,96.3846,100.008,100.008,98.8002,94.4051,0,74,6,1,81,16
25,20,1,1,6,100.008,96.3051,99.3164,94.4203,96.6806,92.2656,0,137,27,3,167,44
25,20,1,1,6.1,100.008,95.8088,98.3313,97.8486,97.3296,91.0233,0,232,60,13,305,80
25,20,1,1,6.2,100.008,95.1426,97.8588,96.5714,96.5243,85.5734,0,361,132,30,523,145
25,20,1,1,6.3,100.008,93.3759,97.7249,97.0397,96.0468,82.1086,0,483,276,117,876,234
25,20,1,1,6.4,100.008,91.1103,96.0628,95.8641,94.3457,78.6415,0,675,474,278,1427,375
25,20,1,1,6.5,100.008,86.3828,93.2194,93.5396,91.0473,77.3642,0,877,750,527,2154,557
25,20,1,1,6.6,100.008,82.118,87.6651,86.4151,85.3994,76.436,0,1104,1063,831,2998,819
25,20,1,1,6.7,100.008,79.8657,84.7547,84.6976,83.106,74.7941,0,1356,1288,1108,3752,1100
25,20,1,1,6.8,100.008,77.8155,83.7887,82.7387,81.4477,74.085,0,1508,1505,1392,4405,1369
25,20,1,1,6.9,100.008,76.6576,82.8836,80.5181,80.0198,73.4547,0,1659,1676,1637,4972,1652
25,20,1,1,7,100.008,76.3478,80.6948,79.4559,78.8328,71.8468,0,1795,1799,1816,5410,1832
25,20,1,1,7.1,91.709,74.2173,79.977,78.6411,77.6118,70.9659,16,1910,1894,1923,5727,2063
25,20,1,1,7.2,80.6359,73.1984,77.8015,77.448,76.1493,69.0117,187,2013,1991,1989,5993,2146
25,20,1,1,7.3,74.6073,73.2754,76.4363,75.6233,75.1117,68.8545,499,2077,2038,2083,6198,2177
25,20,1,1,7.4,72.1748,72.516,75.181,73.6942,73.7971,66.9856,799,2108,2071,2130,6309,2211
25,20,1,1,7.5,71.1074,70.2437,75.2284,72.0523,72.5081,66.9535,1097,2170,2090,2169,6429,2273
25,20,1,1,7.6,70.2945,67.7728,75.1433,70.5767,71.1643,65.605,1394,2243,2087,2212,6542,2306
25,20,1,1,7.7,69.8079,68.1491,72.5256,69.5728,70.0825,63.4951,1689,2248,2163,2247,6658,2383
25,20,1,1,7.8,68.7039,66.8901,69.8454,67.5641,68.0998,62.1335,1986,2270,2211,2306,6787,2299
25,20,1,1,7.9,66.8225,64.6043,68.7205,66.278,66.5342,63.0342,2111,2335,2238,2323,6896,2105
25,20,1,1,8,66.6023,62.8735,68.1424,64.9375,65.3178,60.4942,2246,2389,2268,2376,7033,1888
25,20,1,1,8.1,64.6322,61.7832,66.8553,63.6165,64.085,57.1327,2386,2326,2204,2314,6844,1655
25,20,1,1,8.2,62.8991,58.9354,63.7791,61.1047,61.2731,51.6616,2417,2104,1967,2032,6103,1435
25,20,1,1,8.3,62.4732,55.6901,60.0215,56.2757,57.3291,42.7543,2459,1857,1713,1793,5363,1177
25,20,1,1,8.4,61.1006,49.556,53.2121,49.4267,50.7316,38.9081,2509,1591,1470,1536,4597,921
25,20,1,1,8.5,59.5804,40.3387,41.6579,39.739,40.5785,40.0378,2542,1345,1230,1257,3832,665
25,20,1,1,8.6,57.2686,37.2751,38.2187,37.9554,37.8164,47.4155,2321,1076,991,989,3056,410
25,20,1,1,8.7,53.6965,37.0955,36.9439,38.6683,37.5692,83.3303,2061,800,756,734,2290,151
25,20,1,1,8.8,48.9118,37.3529,39.7555,36.9618,38.0234,87.3492,1803,526,470,514,1510,5
25,20,1,1,8.9,42.1968,92.7876,100.008,100.008,97.6012,95.0763,1558,250,230,246,726,3
25,20,1,1,9,35.0482,93.4427,100.008,100.008,97.8196,95.0763,1294,6,0,0,6,1
25,20,1,1,9.1,34.1074,100.008,100.008,100.008,100.008,95.0763,1048,1,0,0,1,1
25,20,1,1,9.2,34.2542,100.008,100.008,100.008,100.008,100.008,793,0,0,0,0,1
25,20,1,1,9.3,34.1183,100.008,100.008,100.008,100.008,100.008,532,0,0,0,0,0
25,20,1,1,9.4,100.008,100.008,100.008,100.008,100.008,100.008,270,0,0,0,0,0
25,20,1,1,9.5,100.008,100.008,100.008,100.008,100.008,100.008,16,0,0,0,0,0
25,20,2,1,5.2,100.008,97.9514,100.008,100.008,99.3225,100.008,0,3,0,0,3,0
25,20,2,1,5.3,100.008,97.9514,100.008,100.008,99.3225,100.008,0,3,0,0,3,0
25,20,2,1,5.4,100.008,98.4655,100.008,100.008,99.4938,100.008,0,4,0,0,4,0
25,20,2,1,5.5,100.008,96.1635,100.008,100.008,98.7265,100.008,0,6,0,0,6,1
25,20,2,1,5.6,100.008,95.3794,100.008,100.008,98.4651,96.6257,0,17,0,0,17,4
25,20,2,1,5.7,100.008,96.0216,100.008,100.008,98.6792,93.8406,0,34,0,0,34,6
25,20,2,1,5.8,100.008,95.8971,99.6303,100.008,98.5118,95.7812,0,58,4,1,63,11
25,20,2,1,5.9,100.008,96.4282,98.8398,100.008,98.4253,95.4709,0,100,12,0,112,31
25,20,2,1,6,100.008,95.6289,98.3805,99.4339,97.8144,91.1698,0,162,41,5,208,58
25,20,2,1,6.1,100.008,95.3046,98.6207,98.5531,97.4928,88.2694,0,279,76,12,367,97
25,20,2,1,6.2,100.008,94.7149,98.2173,98.4069,97.113,86.4061,0,406,166,32,604,156
25,20,2,1,6.3,100.008,92.7898,97.6879,97.8992,96.1257,84.2934,0,526,316,123,965,255
25,20,2,1,6.4,100.008,89.888,95.4067,95.0266,93.4405,81.4981,0,709,522,316,1547,401
25,20,2,1,6.5,100.008,85.742,92.9732,92.0272,90.2475,78.007,0,906,810,593,2309,613
25,20,2,1,6.6,100.008,82.5819,88.3725,86.8438,85.9327,74.3099,0,1159,1086,883,3128,894
25,20,2,1,6.7,100.008,78.6598,85.6811,84.6446,82.9951,72.5417,0,1370,1318,1168,3856,1164
25,20,2,1,6.8,100.008,77.3964,83.2537,82.7455,81.1319,72.2393,0,1518,1530,1439,4487,1437
25,20,2,1,6.9,100.008,76.129,81.6684,81.4344,79.7439,71.4518,0,1703,1696,1676,5075,1660
25,20,2,1,7,97.8288,76.1249,80.0712,80.2064,78.8008,70.6217,1,1837,1807,1818,5462,1862
25,20,2,1,7.1,88.9366,74.8706,79.5207,78.3653,77.5855,70.1588,26,1912,1908,1935,5755,2115
25,20,2,1,7.2,74.1047,72.7938,78.428,76.4903,75.9041,69.84,265,2027,1980,2027,6034,2221
25,20,2,1,7.3,69.3616,71.8966,77.0686,74.7596,74.575,68.0539,568,2079,2031,2112,6222,2294
25,20,2,1,7.4,67.8781,69.7368,77.2645,73.2603,73.4205,66.0943,865,2160,2035,2134,6329,2333
25,20,2,1,7.5,67.434,69.404,76.0828,71.4977,72.3282,65.6568,1161,2197,2065,2194,6456,2374
25,20,2,1,7.6,67.2566,68.0761,73.3302,69.3746,70.2603,64.0385,1457,2222,2117,2235,6574,2411
25,20,2,1,7.7,67.2602,67.8005,72.3417,68.3938,69.512,62.376,1752,2254,2169,2279,6702,2453
25,20,2,1,7.8,66.0535,66.0363,70.8139,66.3951,67.7485,60.5304,2049,2292,2203,2327,6822,2295
25,20,2,1,7.9,66.0704,65.0497,68.3507,65.0449,66.1485,57.5166,2282,2312,2255,2361,6928,2091
25,20,2,1,8,63.3775,64.6833,66.735,63.0551,64.8245,53.2539,2326,2342,2302,2428,7072,1853
25,20,2,1,8.1,60.7483,62.6334,65.3506,62.1361,63.3734,48.3119,2450,2267,2200,2298,6765,1608
25,20,2,1,8.2,58.2321,59.2714,62.5311,59.5427,60.4484,41.9014,2478,2060,1950,2026,6036,1369
25,20,2,1,8.3,55.9357,56.153,57.8929,55.0808,56.3756,39.3986,2505,1813,1704,1763,5280,1107
25,20,2,1,8.4,54.2068,50.0075,50.9218,49.0608,49.9967,38.414,2557,1561,1458,1491,4510,844
25,20,2,1,8.5,56.0114,39.9024,40.2007,39.5424,39.8818,38.9169,2533,1321,1211,1212,3744,583
25,20,2,1,8.6,56.7895,37.8937,37.7987,39.0761,38.2562,89.7122,2301,1049,957,949,2955,358
25,20,2,1,8.7,54.3384,37.5618,37.43,38.2387,37.7435,96.1111,2040,762,706,726,2194,96
25,20,2,1,8.8,50.9039,38.5488,37.5142,36.2804,37.4478,96.1111,1821,483,455,480,1418,1
25,20,2,1,8.9,46.1229,90.8615,100.008,100.008,96.9592,96.1111,1581,222,215,213,650,1
25,20,2,1,9,38.8751,86.8774,100.008,100.008,95.6311,96.1111,1319,3,0,0,3,1
25,20,2,1,9.1,31.6177,100.008,100.008,100.008,100.008,96.1111,1062,1,0,0,1,1
25,20,2,1,9.2,31.3396,100.008,100.008,100.008,100.008,100.008,816,0,0,0,0,1
25,20,2,1,9.3,33.5402,100.008,100.008,100.008,100.008,100.008,554,0,0,0,0,0
25,20,2,1,9.4,100.008,100.008,100.008,100.008,100.008,100.008,302,0,0,0,0,0
25,20,2,1,9.5,100.008,100.008,100.008,100.008,100.008,100.008,38,0,0,0,0,0
25,20,3,1,5.5,100.008,100.008,100.008,100.008,100.008,93.8381,0,2,0,1,3,1
25,20,3,1,5.6,100.008,100.008,100.008,100.008,100.008,93.8381,0,3,0,0,3,1
25,20,3,1,5.7,100.008,95.1262,100.008,100.008,98.3807,96.923,0,10,0,0,10,2
25,20,3,1,5.8,100.008,96.2394,99.6203,100.008,98.6226,95.2258,0,39,2,0,41,7
25,20,3,1,5.9,100.008,96.12,97.3086,100.008,97.8122,96.5949,0,76,13,2,91,21
25,20,3,1,6,100.008,95.8335,98.6973,100.008,98.1796,96.5522,0,150,29,4,183,48
25,20,3,1,6.1,100.008,95.4835,98.7696,95.5209,96.5913,94.0429,0,242,58,17,317,81
25,20,3,1,6.2,100.008,94.8411,97.2251,98.7095,96.9252,91.0764,0,365,132,41,538,143
25,20,3,1,6.3,100.008,92.3018,96.9123,97.1384,95.4508,86.9718,0,505,280,131,916,254
25,20,3,1,6.4,100.008,89.7502,95.6754,96.3546,93.9267,83.1598,0,670,490,273,1433,407
25,20,3,1,6.5,100.008,86.4434,92.8098,92.8792,90.7108,80.5578,0,888,747,537,2172,589
25,20,3,1,6.6,100.008,81.9738,88.5078,87.1901,85.8906,75.7535,0,1156,1020,840,3016,839
25,20,3,1,6.7,100.008,79.5039,85.7654,85.7088,83.6594,73.3894,0,1316,1310,1153,3779,1137
25,20,3,1,6.8,100.008,77.5531,83.3711,84.0532,81.6591,73.091,0,1493,1528,1404,4425,1374
25,20,3,1,6.9,100.008,76.8178,82.5305,81.7292,80.3592,72.5816,0,1670,1678,1630,4978,1629
25,20,3,1,7,100.008,75.0951,81.05,80.0452,78.7301,72.0048,0,1836,1798,1791,5425,1824
25,20,3,1,7.1,88.973,75.2167,79.9874,78.3369,77.847,71.4668,18,1932,1898,1932,5762,1983
25,20,3,1,7.2,78.3941,72.9957,77.9145,77.3079,76.0727,70.2999,185,2032,1995,2020,6047,2127
25,20,3,1,7.3,69.8097,73.0044,76.4671,75.1314,74.8676,68.1497,495,2054,2047,2094,6195,2303
25,20,3,1,7.4,68.4076,72.1529,74.9872,72.668,73.2694,65.8835,792,2098,2075,2132,6305,2336
25,20,3,1,7.5,67.3045,69.6243,75.7983,71.4223,72.2816,63.7224,1088,2172,2067,2183,6422,2380
25,20,3,1,7.6,67.2563,68.8126,73.1671,71.2532,71.0776,61.9431,1385,2215,2126,2195,6536,2416
25,20,3,1,7.7,67.2598,67.4234,71.7014,70.9247,70.0165,61.2777,1681,2268,2193,2217,6678,2458
25,20,3,1,7.8,66.9318,65.523,71.4354,68.5758,68.5114,61.3202,1978,2329,2199,2257,6785,2340
25,20,3,1,7.9,66.6329,63.5557,70.0647,66.5517,66.724,58.3581,2158,2363,2217,2312,6892,2124
25,20,3,1,8,63.9572,62.837,68.0808,64.6368,65.1849,55.3949,2365,2384,2281,2376,7041,1931
25,20,3,1,8.1,61.3205,62.3552,66.5446,63.3351,64.0783,50.7002,2437,2336,2241,2336,6913,1695
25,20,3,1,8.2,58.7788,60.103,62.9013,60.5996,61.2013,43.5146,2464,2112,1998,2071,6181,1452
25,20,3,1,8.3,56.3427,56.2074,59.4365,56.5266,57.3902,40.0881,2495,1877,1751,1808,5436,1196
25,20,3,1,8.4,54.2682,50.8378,52.3731,51.1824,51.4644,37.5338,2543,1624,1503,1548,4675,943
25,20,3,1,8.5,56.1159,41.708,42.7564,40.9255,41.7966,37.9297,2527,1373,1247,1290,3910,694
25,20,3,1,8.6,57.1081,36.9384,38.9387,37.888,37.9217,35.4744,2266,1104,995,1021,3120,433
25,20,3,1,8.7,54.7775,36.2888,39.3637,37.1121,37.5882,100.008,2003,827,758,774,2359,182
25,20,3,1,8.8,51.3933,36.4343,38.6773,36.6855,37.2657,100.008,1812,538,506,530,1574,0
25,20,3,1,8.9,46.625,92.0663,100.008,100.008,97.3608,100.008,1568,283,262,265,810,0
25,20,3,1,9,39.3687,95.0763,100.008,100.008,98.3641,100.008,1305,15,11,11,37,0
25,20,3,1,9.1,31.7193,100.008,100.008,100.008,100.008,100.008,1046,1,0,0,1,0
25,20,3,1,9.2,31.0831,100.008,100.008,100.008,100.008,100.008,802,0,0,0,0,0
25,20,3,1,9.3,33.4689,100.008,100.008,100.008,100.008,100.008,540,0,0,0,0,0
25,20,3,1,9.4,100.008,100.008,100.008,100.008,100.008,100.008,287,0,0,0,0,0
25,20,3,1,9.5,100.008,100.008,100.008,100.008,100.008,100.008,23,0,0,0,0,0
25,20,4,1,5.3,100.008,100.008,100.008,100.008,100.008,100.008,0,0,0,0,0,1
25,20,4,1,5.4,100.008,100.008,100.008,100.008,100.008,96.923,0,1,0,0,1,2
25,20,4,1,5.5,100.008,100.008,100.008,100.008,100.008,97.9514,0,2,0,0,2,3
25,20,4,1,5.6,100.008,92.2066,100.008,100.008,97.4075,96.6105,0,4,0,0,4,7
25,20,4,1,5.7,100.008,93.4395,100.008,100.008,97.8185,96.1864,0,17,0,1,18,11
25,20,4,1,5.8,100.008,95.1809,96.4757,100.008,97.2215,97.0087,0,36,4,0,40,13
25,20,4,1,5.9,100.008,96.0786,99.6542,100.008,98.5803,96.0262,0,68,9,1,78,30
25,20,4,1,6,100.008,96.135,99.9224,100.008,98.6885,95.0188,0,142,20,1,163,54
25,20,4,1,6.1,100.008,96.1443,98.8518,95.9345,96.9769,89.5619,0,222,47,8,277,93
25,20,4,1,6.2,100.008,95.0838,98.2531,97.5904,96.9758,84.4658,0,339,146,42,527,169
25,20,4,1,6.3,100.008,93.0981,97.3772,97.016,95.8304,81.2952,0,508,287,137,932,260
25,20,4,1,6.4,100.008,90.7316,94.5402,96.6595,93.9771,78.7965,0,669,510,289,1468,426
25,20,4,1,6.5,100.008,87.0495,92.1458,91.8798,90.3583,77.185,0,881,794,547,2222,625
25,20,4,1,6.6,100.008,81.5275,88.3994,86.9574,85.6281,74.2185,0,1114,1081,891,3086,910
25,20,4,1,6.7,100.008,80.1176,84.7051,84.7375,83.1868,73.0815,0,1365,1316,1158,3839,1200
25,20,4,1,6.8,100.008,78.019,83.4856,81.6609,81.0551,71.9669,0,1533,1508,1430,4471,1499
25,20,4,1,6.9,100.008,76.2894,82.0436,81.1558,79.8296,71.458,0,1675,1683,1651,5009,1734
25,20,4,1,7,100.008,76.997,79.5531,79.6397,78.7299,69.221,0,1795,1814,1814,5423,1922
25,20,4,1,7.1,93.5287,74.7825,79.3646,78.0689,77.4053,66.4525,24,1942,1906,1941,5789,2003
25,20,4,1,7.2,81.4987,75.2528,77.8519,76.0334,76.3794,64.0473,225,2004,2013,2068,6085,2216
25,20,4,1,7.3,74.8503,74.023,77.3036,73.364,74.8969,63.7106,539,2068,2035,2134,6237,2243
25,20,4,1,7.4,73.3147,73.4801,76.5822,71.6381,73.9001,60.6967,840,2096,2053,2194,6343,2313
25,20,4,1,7.5,72.0453,72.8304,74.5898,70.4955,72.6386,58.8472,1140,2125,2116,2217,6458,2346
25,20,4,1,7.6,71.0926,70.935,73.0641,68.5098,70.8363,61.4833,1439,2168,2146,2276,6590,2375
25,20,4,1,7.7,70.3651,69.1118,70.7736,67.6537,69.1797,60.569,1721,2221,2203,2294,6718,2377
25,20,4,1,7.8,69.1774,66.0166,69.7639,65.9275,67.236,59.3363,2006,2267,2224,2335,6826,2376
25,20,4,1,7.9,67.4939,65.3692,67.5626,64.691,65.8742,57.4706,2180,2298,2273,2367,6938,2172
25,20,4,1,8,64.8151,63.4949,66.847,63.2271,64.523,54.5794,2226,2337,2297,2417,7051,1953
25,20,4,1,8.1,62.1163,62.7627,66.4532,61.4412,63.5524,51.2382,2315,2391,2291,2469,7151,1720
25,20,4,1,8.2,61.0999,61.0312,63.4985,59.5351,61.3549,46.2665,2343,2160,2095,2212,6467,1478
25,20,4,1,8.3,58.2985,57.3455,59.5101,56.9801,57.9453,38.9802,2380,1948,1855,1921,5724,1233
25,20,4,1,8.4,56.4018,52.4319,54.2482,50.9943,52.5581,35.8004,2352,1704,1583,1686,4973,967
25,20,4,1,8.5,59.1717,43.9119,45.9439,42.1363,43.9974,37.0407,2096,1440,1352,1422,4214,717
25,20,4,1,8.6,59.2901,37.2108,39.1996,37.1379,37.8494,36.4032,1844,1200,1092,1130,3422,479
25,20,4,1,8.7,56.4906,36.051,38.5281,37.1719,37.2503,87.4333,1665,921,857,872,2650,216
25,20,4,1,8.8,52.2824,35.5006,38.0359,38.1211,37.2192,90.755,1445,665,606,607,1878,3
25,20,4,1,8.9,45.5896,38.7998,40.0579,37.8459,38.9012,100.008,1187,379,348,371,1098,1
25,20,4,1,9,34.4516,100.008,100.008,100.008,100.008,100.008,943,108,102,104,314,0
25,20,4,1,9.1,31.4993,100.008,100.008,100.008,100.008,100.008,678,0,0,0,0,0
25,20,4,1,9.2,34.0704,100.008,100.008,100.008,100.008,100.008,422,0,0,0,0,0
25,20,4,1,9.3,100.008,100.008,100.008,100.008,100.008,100.008,157,0,0,0,0,0
25,20,5,1,5.3,100.008,100.008,100.008,100.008,100.008,100.008,0,1,0,0,1,0
25,20,5,1,5.4,100.008,96.923,100.008,100.008,98.9797,100.008,0,2,0,0,2,0
25,20,5,1,5.5,100.008,97.4979,100.008,100.008,99.1713,83.111,0,7,0,0,7,1
25,20,5,1,5.6,100.008,96.5452,100.008,100.008,98.8537,91.5595,0,11,0,0,11,2
25,20,5,1,5.7,100.008,94.8419,97.2486,100.008,97.3662,92.4216,0,23,3,0,26,3
25,20,5,1,5.8,100.008,95.7843,98.111,100.008,97.9678,95.0888,0,43,4,0,47,8
25,20,5,1,5.9,100.008,96.6282,98.6337,100.008,98.4233,94.7619,0,90,13,0,103,22
25,20,5,1,6,100.008,96.2908,99.259,100.008,98.5193,93.3164,0,149,32,2,183,59
